country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-10-15,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-10-16,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-10-17,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-10-18,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-10-19,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-10-20,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-10-21,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-10-22,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-10-23,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-10-24,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-10-25,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-10-26,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-10-27,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-10-28,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-10-29,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-10-30,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-10-31,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-11-01,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-11-02,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-11-03,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-11-04,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-11-05,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-11-06,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-11-07,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-11-08,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-11-09,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-11-10,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-11-11,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-11-12,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-11-13,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-11-14,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-11-15,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-11-16,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-11-17,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-11-18,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-11-19,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-11-20,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-11-21,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-11-22,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-11-23,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-11-24,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-11-25,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-11-26,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-11-27,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-11-28,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-11-29,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-11-30,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-01,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-02,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-03,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-04,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-05,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-06,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-07,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-08,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-09,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-10,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-11,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-12,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-13,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-14,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-15,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-16,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-17,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-18,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-19,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-20,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-21,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-22,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-23,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-24,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-25,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-26,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-27,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-28,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-29,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-30,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2020-12-31,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-01,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-02,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-03,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-04,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-05,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-06,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-07,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-08,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-09,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-10,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-11,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-12,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-13,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-14,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-15,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-16,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-17,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-18,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-19,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-20,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-21,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-22,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-23,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-24,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-25,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-26,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-27,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-28,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-29,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-30,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-01-31,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-02-01,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-02-02,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-02-03,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-02-04,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-02-05,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-02-06,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-02-07,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-02-08,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-02-09,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-02-10,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-02-11,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-02-12,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-02-13,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-02-14,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-02-15,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-02-16,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-02-17,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-02-18,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-02-19,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-02-20,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-02-21,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-02-22,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-02-23,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-02-24,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-02-25,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-02-26,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-02-27,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-02-28,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-01,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-02,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-03,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-04,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-05,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-06,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-07,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-08,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-09,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-10,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-11,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-12,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-13,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-14,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-15,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-16,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-17,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-18,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-19,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-20,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-21,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-22,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-23,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-24,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-25,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-26,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-27,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-28,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-29,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-30,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-03-31,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-04-01,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-04-02,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-04-03,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-04-04,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-04-05,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-04-06,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-04-07,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-04-08,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-04-09,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-04-10,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-04-11,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-04-12,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-04-13,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-04-14,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-04-15,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-04-16,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-04-17,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-04-18,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-04-19,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-04-20,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-04-21,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-04-22,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-04-23,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-04-24,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-04-25,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-04-26,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-04-27,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-04-28,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-04-29,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-04-30,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-05-01,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-05-02,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-05-03,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
Equatorial Guinea,GNQ,OWID,Confirmed cases,Cori_step,2021-05-04,1.003002452143469,1.035659116700179,0.970345787586759,GNQ
